day,MCO_type,meanR,mean_diff,mean_diff_percent,t_start,t_end,quantile25,quantile975
D1,before_MCO,1.2923056515759752,NA,NA,2,8,0.5909244346761939,2.263428724013034
D5,before_MCO,1.0514034040447868,-0.24090224753118838,-18.641274781813923,6,12,0.42271869894083736,1.961539348901516
D10,before_MCO,0.8272099830663056,-0.22419342097848127,-21.323254244374812,11,17,0.2253868793154962,1.813093951889806
D1,MCO1,1.2295454689618537,NA,NA,45,51,1.1547671875258527,1.3066365297961773
D5,MCO1,1.1472943103538753,-0.08225115860797838,-6.689558107796191,49,55,1.0823510041032358,1.2141030176245573
D10,MCO1,1.1011333743203457,-0.046160936033529554,-4.023460729905609,54,60,1.0390128709570337,1.1650320153925877
D1,MCO2,1.0535002811505523,NA,NA,59,65,0.9950173340393709,1.1136297079276216
D5,MCO2,0.9490704835001931,-0.1044297976503592,-9.912650192775361,63,69,0.8917686309857882,1.0081313411746358
D10,MCO2,0.9073133863021875,-0.04175709719800558,-4.39978883802228,68,74,0.8491874449613199,0.9673362290035762
D1,MCO3,0.6654596427522124,NA,NA,73,79,0.6060919805039308,0.7275613339733088
D5,MCO3,0.7377907448772754,0.072331102125063,10.869344657162912,77,83,0.6665531956092268,0.8125929491691051
D10,MCO3,0.8579266495994045,0.1201359047221291,16.28319487012711,82,88,0.7739327224873327,0.9461853234806682
D1,MCO4,0.9538128614569585,NA,NA,87,93,0.8707200305745,1.0406382227273248
D5,MCO4,0.7866458552937569,-0.16716700616320168,-17.526184948675617,91,97,0.7073677678484486,0.8700739403164204
D10,MCO4,0.8442034696722227,0.05755761437846585,7.316839463543875,96,102,0.7543678361760745,0.9390198539617727
